id,name,linkedin_url,website,industry,employee_count,country,city,founded_year,company_age,gtm_score,gtm_band,demand_score,conversion_score,delivery_score,DEM-ICP-01,DEM-FIT-02,DEM-MSG-03,DEM-CHN-04,DEM-ATT-05,DEM-CNT-06,CON-SLA-01,CON-QLF-02,CON-STG-03,CON-OBJ-04,CON-WNL-05,CON-PGE-06,DEL-TTV-01,DEL-ONB-02,DEL-HLT-03,DEL-RET-04,DEL-QBR-05,DEL-ADV-06,follower_count,followers_per_employee,speciality_count,description_length,is_verified,has_tagline,has_website,page_verified
82138326,"Example B2B SaaS Marketing Recruitment | Specialists in SaaS - Product, Demand & Growth Hiring",https://www.linkedin.com/company/example-digital/,https://theexample.co.uk,Staffing and Recruiting,4.0,GB,London,2022.0,4.0,29.5,Foundations,37.1,23.5,26.5,3,1,3,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1154,288.5,5,971,0,1,1,False
100839856,B2B Rizz | ABM + LinkedIn Ads for B2B SaaS,https://www.linkedin.com/company/b2b-rizz/,https://b2brizz.com/,Advertising Services,5.0,US,New York City,2023.0,3.0,25.2,Foundations,33.0,20.0,20.0,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,456,91.2,3,72,0,1,1,False
98926171,B2B SaaS Partners Limited,https://www.linkedin.com/company/b2bsaaspartners/,https://www.b2bsaaspartners.com,Embedded Software Products,0.0,GB,London,2022.0,4.0,28.0,Foundations,30.4,29.6,20.0,2,2,2,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,7,inf,0,62,0,1,1,False
11149855,SaaS Partners,https://www.linkedin.com/company/saaspartnersfr/,https://www.saaspartners.fr,Venture Capital and Private Equity Principals,9.0,FR,Paris,2016.0,10.0,28.0,Foundations,33.0,26.9,20.0,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,844,93.8,7,582,0,1,1,False
79097173,SaaS Growth Strategies,https://www.linkedin.com/company/saasgrowthstrategies/,https://saas-growth-strategies.beehiiv.com/,Software Development,2.0,US,San Francisco,2023.0,3.0,25.9,Foundations,33.0,20.0,23.5,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1572,786.0,3,139,0,1,1,False
18863312,Rock The Rankings - The B2B SaaS SEO & GEO Agency,https://www.linkedin.com/company/rock-the-rankings/,https://www.rocktherankings.com,"Technology, Information and Internet",6.0,US,Charlotte,2020.0,6.0,35.2,Foundations,43.3,33.3,22.9,3,1,4,2,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1938,323.0,6,744,0,1,1,False
89534218,SaaS Weekly,https://www.linkedin.com/company/saas-weekly/,https://getsaasweekly.com/,"Technology, Information and Media",2.0,US,Seattle,2019.0,7.0,28.0,Foundations,33.0,26.9,20.0,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,729,364.5,2,141,0,1,1,False
110225116,WhaleClicks B2B & SaaS Lead Generation Agency,https://www.linkedin.com/company/whaleclicks-com/,https://whaleclicks.com/,Marketing Services,1.0,US,Concord,2023.0,3.0,41.4,Process & Response,56.8,33.1,27.0,3,1,3,4,4,2,1,1,4,1,1,2,1,2,1,2,1,1,8,8.0,8,594,0,1,1,False
112078961,LinkQuro - B2B SaaS Link Building,https://www.linkedin.com/company/linkquro-b2b-saas-link-building/,https://www.linkquro.com,Advertising Services,3.0,US,Orlando,2025.0,1.0,33.5,Foundations,43.5,30.2,20.0,3,1,3,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,69,23.0,1,1178,0,1,1,False
93836778,SaaS AI,https://www.linkedin.com/company/saas-ai/,https://saasgrowth.ai,Internet Publishing,6.0,US,San Francisco,2023.0,3.0,26.8,Foundations,30.1,23.4,26.8,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,531,88.5,8,305,0,1,1,False
